4.17042566994609e-06,
3.28262261512622e-05,
0.000102106336323389,
0.000184752383249427,
0.000184752383249426,
-3.95749615137488e-05,
-0.000586287423262901,
-0.00137855905377222,
-0.00206693653060981,
-0.00206674338840136,
-0.000797261016952968,
0.00191538945576242,
0.00544592849746008,
0.00825121877426769,
0.00824908989928433,
0.00372369984431894,
-0.00550222934885126,
-0.0171314306373759,
-0.0262408293316647,
-0.0262324975156751,
-0.0107557600157001,
0.024007787451616,
0.0775741119962766,
0.144679406498787,
0.216410425623612,
0.282618666436599,
0.334765294862209,
0.368167814196076,
0.382877069347869,
0.38298100207814,
0.374747235531321,
0.364409674838129,
0.35642714026966,
0.352727599185931,
0.35298136377626,
0.355547050376473,
0.358563555161528,
0.360743809827505,
0.361669028016712,
0.361640555788893,
0.361304540613987,
0.361283214441433,
0.361960928147627,
0.363454865776923,
0.365712153770532,
0.368643481032203,
0.372219010045937,
0.376490332268932,
0.381540642342742,
0.387393021495134,
0.393935524157666,
0.400865507053344,
0.407672959033467,
0.413688714803657,
0.418189969835169,
0.420532598001148,
0.420274103578508,
0.417259610235512,
0.411659868618252,
0.403964160740718,
0.394930664063713,
0.385493832062472,
0.376651540961697,
0.36934037007755,
0.364297868235118,
0.361897428351427,
0.361953061022036,
0.363555439709831,
0.36507491764844,
0.364506464589157,
0.360271749660767,
0.352401387474309,
0.34373388140761,
0.340514168967101,
0.351729218264079,
0.386823481385029,
0.452084727475244,
0.546762331805295,
0.660504031487137,
0.7736178891604,
0.860848446236854,
0.898018300585364,
0.869559645146064,
0.774269664215858,
0.626981641375418,
0.455214752743736,
0.291730019507816,
0.165494680346095,
0.0941558712010952,
0.0804852688319086,
0.113672026716184,
0.174511719007798,
0.242239845349399,
0.300476570518628,
0.340483887798185,
0.361246373300681,
0.367142096563359,
0.364664253409474,
0.359615243486787,
0.355604162878149,
0.353918341755943,
0.354280137344367,
0.35582788314049,
0.357825266310307,
0.359923331843673,
0.362081139413394,
0.364375519657778,
0.366890144314136,
0.369746993509676,
0.373217523115729,
0.3777855676128,
0.384088924673919,
0.39274034030802,
0.404096741972264,
0.418073933706141,
0.43407683238121,
0.451075854385037,
0.467807371329674,
0.483028746662186,
0.495737173657412,
0.505277222144824,
0.511311345043299,
0.513691867092233,
0.51231810576942,
0.507066124846268,
0.497840043218637,
0.484729392655405,
0.468196679931901,
0.449193234896173,
0.42912373766981,
0.409641344081638,
0.392328195772235,
0.378367007368757,
0.368315393179444,
0.362054600664641,
0.358917891211023,
0.357940038321843,
0.358135022801476,
0.358713818073599,
0.359191427676048,
0.359379978012484,
0.359303082093333,
0.359083370174397,
0.358848125944078,
0.358676703319265,
0.358590490722302,
0.358570460724528,
0.358583106249962,
0.358601043832363,
0.358612421093616,
0.358619854697543,
0.358633951933331,
0.358667154583915,
0.358731018026291,
0.358835786794731,
0.358989852122151,
0.359196592698666,
0.359448483515135,
0.359721647279833,
0.359975267187512,
0.360160092480993,
0.360237872957285,
0.360206458429237,
0.360119787378688,
0.360091315150869,
0.360275561581359,
0.360833107427128,
0.361893955361112,
0.363536721780446,
0.365794009774055,
0.368680480646094,
0.372226051322961,
0.376490332268932,
0.381540642342742,
0.387393021495134,
0.393935524157666,
0.400865507053344,
0.407672959033467,
0.413688714803657,
0.418189969835169,
0.420532598001148,
0.420274103578508,
0.417259610235512,
0.411659868618252,
0.403964160740718,
0.394930664063713,
0.385493832062472,
0.376651540961697,
0.36934037007755,
0.364297868235118,
0.361897428351427,
0.361953061022036,
0.363555439709831,
0.36507491764844,
0.364506464589157,
0.360271749660767,
0.352401387474309,
0.34373388140761,
0.340514168967101,
0.351729218264079,
0.386823481385029,
0.452084727475244,
0.546762331805295,
0.660504031487137,
0.7736178891604,
0.860848446236854,
0.898018300585364,
0.869559645146064,
0.774269664215858,
0.626981641375418,
0.455214752743736,
0.291730019507816,
0.165494680346095,
0.0941558712010952,
0.0804852688319086,
0.113672026716184,
0.174511719007798,
0.242239845349399,
0.300476570518628,
0.340483887798185,
0.361246373300681,
